id,question,option1,option2,option3,option4,correct_answer,explanation
1,昆虫の足の数は何本かな？,2本,4本,6本,8本,3,昆虫の足は胸から生えていて、全部で6本あるのがとくちょうだよ。
2,植物が光を使って自分で栄養を作ることを何という？,光合成,呼吸,蒸散,成長,1,植物は葉っぱにある葉緑体で、光のエネルギーを使って水と二酸化炭素から栄養（デンプン）を作るんだ。これを光合成というよ。
3,磁石にくっつくのは次のうちどれ？,アルミニウム,鉄,金,プラスチック,2,磁石は鉄やニッケルなど、決まった金属を引きつけるせいしつがあるよ。アルミニウムや金にはくっつかないんだ。
4,チョウがたまごから大人になるまでの順番で正しいのはどれ？,たまご→よう虫→さなぎ→成虫,たまご→さなぎ→よう虫→成虫,たまご→よう虫→成虫→さなぎ,たまご→成虫→よう虫→さなぎ,1,チョウは「かんぜんへんたい」をする昆虫で、たまご、よう虫（青虫など）、さなぎ、成虫の順番で育つよ。
5,空にうかぶ雲のつぶは、何でできている？,わた,氷と水,空気,けむり,2,雲は、空の上のほうで、空気中の水じょう気が冷やされてできた、とても小さな水や氷のつぶが集まったものなんだ。
6,音が一番はやく伝わるのは、次のうちどれ？,水中,空気中,鉄の中,しん空,3,音は物をふるわせて伝わる。物のつぶがぎゅっとつまっているほど速く伝わるから、固体（鉄）が一番速いんだ。しん空だと音は伝わらないよ。
7,太陽の光をはね返すことでかがやいて見える星はどれ？,たいよう,ほし（恒星）,月,せいざ,3,月は自分では光っていないんだ。太陽の光をかがみのように、はね返して光って見えるんだよ。
8,かげができるのにひつようなものは、光と物とあともう一つは何？,かべ（スクリーン）,くうき,おと,ねつ,1,光がまっすぐ進むとちゅうに物があると、光がさえぎられて、物のうしろのかべ（スクリーン）に暗い部分ができる。これがかげだよ。
9,私たちの体で、食べたものをとかす場所はどこ？,しんぞう,はい,い,のう,3,食べ物は口でかみくだかれた後、「い」に送られて、胃液という強いさんせいの液体でどろどろにとかされるんだ。
10,電気を通さないものは次のうちどれ？,銅線,えんぴつのしん,ガラス,食塩水,3,ガラスやゴム、プラスチックのように、電気が通りにくいものを「ふどうたい（ぜつえんたい）」というよ。
